AnnoS;AteneoCOD;AteneoNOME;Lau_D
2019;7601;Basilicata;1
2019;1601;Bergamo;80
2019;3701;Bologna;959
2019;2101;Bolzano;95
2019;401;Bra Scienze Gastronomiche;19
2019;1701;Brescia;56
2019;2701;Ca' Foscari Venezia;83
2019;9201;Cagliari;32
2019;7801;Calabria;106
2019;4302;Camerino;66
2019;6001;Cassino;73
2019;1201;Castellanza LIUC;12
2019;8701;Catania;11
2019;7901;Catanzaro;7
2019;6901;Chieti e Pescara;40
2019;8601;Enna KORE;3
2019;3801;Ferrara;99
2019;4801;Firenze;324
2019;4804;Firenze IUL - telematica;2
2019;7101;Foggia;2
2019;1001;Genova;256
2019;1202;Insubria;47
2019;6601;L'Aquila;102
2019;4301;Macerata;21
2019;4201;Marche;51
2019;8301;Messina;24
2019;1501;Milano;475
2019;1509;Milano Bicocca;97
2019;1503;Milano Bocconi;546
2019;1504;Milano Cattolica;211
2019;1505;Milano IULM;27
2019;1502;Milano Politecnico;264
2019;1508;Milano San Raffaele;21
2019;3601;Modena e Reggio Emilia;113
2019;7001;Molise;7
2019;6304;Napoli Benincasa;3
2019;6301;Napoli Federico II;24
2019;6303;Napoli L'Orientale;17
2019;6302;Napoli Parthenope;3
2019;6307;Napoli Pegaso - telematica;4
2019;6306;Napoli Vanvitelli;24
2019;1301;Novedrate e-Campus - telematica;23
2019;2801;Padova;265
2019;8201;Palermo;34
2019;3401;Parma;110
2019;1801;Pavia;152
2019;5401;Perugia;89
2019;5403;Perugia Stranieri;64
2019;201;Piemonte Orientale;33
2019;5001;Pisa;157
2019;8001;Reggio Calabria;2
2019;8003;Reggio Calabria - Dante Alighieri;17
2019;5814;Roma  Mercatorum - telematica;5
2019;5808;Roma Biomedico;3
2019;5812;Roma Europea;1
2019;5806;Roma Foro Italico;13
2019;5801;Roma La Sapienza;652
2019;5817;Roma Link Campus;2
2019;5805;Roma Luiss;95
2019;5803;Roma LUMSA;35
2019;5810;Roma Marconi - telematica;14
2019;5816;Roma San Raffaele - telematica;4
2019;5802;Roma Tor Vergata;166
2019;5807;Roma Tre;77
2019;5815;Roma UNICUSANO - telematica;33
2019;5813;Roma UNINETTUNO - telematica;5
2019;5809;Roma UNINT;7
2019;5811;Roma UNITELMA - telematica;1
2019;1510;Rozzano (MI) Humanitas University;3
2019;7501;Salento;13
2019;6501;Salerno;56
2019;6201;Sannio;9
2019;9001;Sassari;25
2019;5201;Siena;150
2019;5202;Siena Stranieri;21
2019;6701;Teramo;20
2019;101;Torino;328
2019;102;Torino Politecnico;699
2019;2201;Trento;155
2019;3201;Trieste;119
2019;5601;Tuscia;1
2019;3001;Udine;85
2019;4101;Urbino;53
2019;2702;Venezia Iuav;44
2019;2301;Verona;75
2018;701;Aosta;8
2018;7201;Bari;46
2018;7202;Bari Politecnico;6
2018;7601;Basilicata;14
2018;1601;Bergamo;55
2018;3701;Bologna;842
2018;2101;Bolzano;93
2018;401;Bra Scienze Gastronomiche;24
2018;1701;Brescia;48
