AnnoS;CorsoTIPO;AnnoNascita;SESSO;Lau
2022;Vecchio Ordinamento;1990;F;2
2022;Laurea;1990;M;1017
2022;Laurea Magistrale;1990;M;1043
2022;Laurea Magistrale Ciclo Unico;1990;M;332
2022;Laurea;1991;F;1200
2022;Laurea Magistrale;1991;F;1638
2022;Laurea Magistrale Ciclo Unico;1991;F;604
2022;Vecchio Ordinamento;1991;F;1
2022;Laurea;1991;M;1247
2022;Laurea Magistrale;1991;M;1378
2022;Laurea Magistrale Ciclo Unico;1991;M;466
2022;Laurea;1992;F;1529
2022;Laurea Magistrale;1992;F;2170
2022;Laurea Magistrale Ciclo Unico;1992;F;819
2022;Laurea;1992;M;1637
2022;Laurea Magistrale;1992;M;1880
2022;Laurea Magistrale Ciclo Unico;1992;M;579
2022;Laurea;1993;F;1861
2022;Laurea Magistrale;1993;F;3045
2022;Laurea Magistrale Ciclo Unico;1993;F;1083
2022;Laurea;1993;M;1926
2022;Laurea Magistrale;1993;M;2756
2022;Laurea Magistrale Ciclo Unico;1993;M;738
2022;Laurea;1994;F;2337
2022;Laurea Magistrale;1994;F;4278
2022;Laurea Magistrale Ciclo Unico;1994;F;1503
2022;Laurea;1994;M;2441
2022;Laurea Magistrale;1994;M;3992
2022;Laurea Magistrale Ciclo Unico;1994;M;1007
2022;Laurea;1995;F;3171
2022;Laurea Magistrale;1995;F;7155
2022;Laurea Magistrale Ciclo Unico;1995;F;2312
2022;Laurea;1995;M;3235
2022;Laurea Magistrale;1995;M;6102
2022;Laurea Magistrale Ciclo Unico;1995;M;1340
2022;Laurea;1996;F;4644
2022;Laurea Magistrale;1996;F;12286
2022;Laurea Magistrale Ciclo Unico;1996;F;3994
2022;Laurea;1996;M;4818
2022;Laurea Magistrale;1996;M;9622
2022;Laurea Magistrale Ciclo Unico;1996;M;2111
2022;Laurea;1997;F;7349
2022;Laurea Magistrale;1997;F;15680
2022;Laurea Magistrale Ciclo Unico;1997;F;6368
2022;Laurea;1997;M;6863
2022;Laurea Magistrale;1997;M;12183
2022;Laurea Magistrale Ciclo Unico;1997;M;3113
2022;Laurea;1998;F;13693
2022;Laurea Magistrale;1998;F;12534
2022;Laurea Magistrale Ciclo Unico;1998;F;4292
2022;Laurea;1998;M;10982
2022;Laurea Magistrale;1998;M;8704
2022;Laurea Magistrale Ciclo Unico;1998;M;1390
2022;Laurea;1999;F;27931
2022;Laurea Magistrale;1999;F;1518
2022;Laurea Magistrale Ciclo Unico;1999;F;575
2022;Laurea;1999;M;18867
2022;Laurea Magistrale;1999;M;1043
2022;Laurea Magistrale Ciclo Unico;1999;M;219
2022;Laurea;2000 e successivi;F;39268
2022;Laurea Magistrale;2000 e successivi;F;37
2022;Laurea Magistrale Ciclo Unico;2000 e successivi;F;9
2022;Laurea;2000 e successivi;M;25219
2022;Laurea Magistrale;2000 e successivi;M;35
2022;Laurea Magistrale Ciclo Unico;2000 e successivi;M;3
2021;Laurea;1981 e precedenti;F;4846
2021;Laurea Magistrale;1981 e precedenti;F;3283
2021;Laurea Magistrale Ciclo Unico;1981 e precedenti;F;807
2021;Vecchio Ordinamento;1981 e precedenti;F;407
2021;Laurea;1981 e precedenti;M;4906
2021;Laurea Magistrale;1981 e precedenti;M;2713
2021;Laurea Magistrale Ciclo Unico;1981 e precedenti;M;830
2021;Vecchio Ordinamento;1981 e precedenti;M;251
2021;Laurea;1982;F;438
2021;Laurea Magistrale;1982;F;429
2021;Laurea Magistrale Ciclo Unico;1982;F;112
2021;Vecchio Ordinamento;1982;F;7
2021;Laurea;1982;M;459
2021;Laurea Magistrale;1982;M;300
2021;Laurea Magistrale Ciclo Unico;1982;M;86
2021;Vecchio Ordinamento;1982;M;3
2021;Laurea;1983;F;476
2021;Laurea Magistrale;1983;F;489
2021;Laurea Magistrale Ciclo Unico;1983;F;149
2021;Vecchio Ordinamento;1983;F;4
2021;Laurea;1983;M;451
2021;Laurea Magistrale;1983;M;345
2021;Laurea Magistrale Ciclo Unico;1983;M;94
2021;Laurea;1984;F;540
2021;Laurea Magistrale;1984;F;537
2021;Laurea Magistrale Ciclo Unico;1984;F;191
2021;Vecchio Ordinamento;1984;F;8
2021;Laurea;1984;M;443
2021;Laurea Magistrale;1984;M;341
2021;Laurea Magistrale Ciclo Unico;1984;M;109
2021;Vecchio Ordinamento;1984;M;1
2021;Laurea;1985;F;582
2021;Laurea Magistrale;1985;F;600
2021;Laurea Magistrale Ciclo Unico;1985;F;258
2021;Vecchio Ordinamento;1985;F;7
2021;Laurea;1985;M;562
2021;Laurea Magistrale;1985;M;412
2021;Laurea Magistrale Ciclo Unico;1985;M;156
2021;Laurea;1986;F;656
2021;Laurea Magistrale;1986;F;676
2021;Laurea Magistrale Ciclo Unico;1986;F;281
2021;Vecchio Ordinamento;1986;F;8
2021;Laurea;1986;M;618
2021;Laurea Magistrale;1986;M;506
2021;Laurea Magistrale Ciclo Unico;1986;M;173
2021;Vecchio Ordinamento;1986;M;1
2021;Laurea;1987;F;705
2021;Laurea Magistrale;1987;F;736
2021;Laurea Magistrale Ciclo Unico;1987;F;297
2021;Vecchio Ordinamento;1987;F;4
2021;Laurea;1987;M;686
2021;Laurea Magistrale;1987;M;552
2021;Laurea Magistrale Ciclo Unico;1987;M;208
2021;Laurea;1988;F;817
2021;Laurea Magistrale;1988;F;965
2021;Laurea Magistrale Ciclo Unico;1988;F;421
2021;Vecchio Ordinamento;1988;F;10
2021;Laurea;1988;M;861
2021;Laurea Magistrale;1988;M;732
2021;Laurea Magistrale Ciclo Unico;1988;M;267
2021;Laurea;1989;F;1023
2021;Laurea Magistrale;1989;F;1146
2021;Laurea Magistrale Ciclo Unico;1989;F;498
2021;Vecchio Ordinamento;1989;F;9
2021;Laurea;1989;M;963
2021;Laurea Magistrale;1989;M;982
2021;Laurea Magistrale Ciclo Unico;1989;M;369
2021;Laurea;1990;F;1235
2021;Laurea Magistrale;1990;F;1503
2021;Laurea Magistrale Ciclo Unico;1990;F;720
2021;Vecchio Ordinamento;1990;F;1
2021;Laurea;1990;M;1340
2021;Laurea Magistrale;1990;M;1416
2021;Laurea Magistrale Ciclo Unico;1990;M;476
2021;Laurea;1991;F;1670
2021;Laurea Magistrale;1991;F;2064
2021;Laurea Magistrale Ciclo Unico;1991;F;878
2021;Vecchio Ordinamento;1991;F;5
2021;Laurea;1991;M;1620
2021;Laurea Magistrale;1991;M;1930
2021;Laurea Magistrale Ciclo Unico;1991;M;603
2021;Vecchio Ordinamento;1991;M;1
2021;Laurea;1992;F;2081
2021;Laurea Magistrale;1992;F;3041
2021;Laurea Magistrale Ciclo Unico;1992;F;1273
2021;Laurea;1992;M;2093
2021;Laurea Magistrale;1992;M;2856
2021;Laurea Magistrale Ciclo Unico;1992;M;818
2021;Laurea;1993;F;2683
2021;Laurea Magistrale;1993;F;4419
2021;Laurea Magistrale Ciclo Unico;1993;F;1779
2021;Laurea;1993;M;2706
2021;Laurea Magistrale;1993;M;4241
2021;Laurea Magistrale Ciclo Unico;1993;M;1090
2021;Laurea;1994;F;3484
2021;Laurea Magistrale;1994;F;7221
2021;Laurea Magistrale Ciclo Unico;1994;F;2686
2021;Laurea;1994;M;3572
2021;Laurea Magistrale;1994;M;6289
2021;Laurea Magistrale Ciclo Unico;1994;M;1635
2021;Laurea;1995;F;5211
2021;Laurea Magistrale;1995;F;12426
2021;Laurea Magistrale Ciclo Unico;1995;F;4266
2021;Laurea;1995;M;5042
2021;Laurea Magistrale;1995;M;9709
2021;Laurea Magistrale Ciclo Unico;1995;M;2313
2021;Laurea;1996;F;8509
2021;Laurea Magistrale;1996;F;15405
2021;Laurea Magistrale Ciclo Unico;1996;F;6713
2021;Laurea;1996;M;7557
2021;Laurea Magistrale;1996;M;12555
2021;Laurea Magistrale Ciclo Unico;1996;M;3368
2021;Laurea;1997;F;15149
2021;Laurea Magistrale;1997;F;11581
2021;Laurea Magistrale Ciclo Unico;1997;F;4188
2021;Laurea;1997;M;12192
2021;Laurea Magistrale;1997;M;8307
2021;Laurea Magistrale Ciclo Unico;1997;M;1419
2021;Laurea;1998;F;29869
2021;Laurea Magistrale;1998;F;1389
2021;Laurea Magistrale Ciclo Unico;1998;F;500
2021;Laurea;1998;M;19331
2021;Laurea Magistrale;1998;M;902
2021;Laurea Magistrale Ciclo Unico;1998;M;191
2021;Laurea;1999 e successivi;F;39250
2021;Laurea Magistrale;1999 e successivi;F;39
2021;Laurea Magistrale Ciclo Unico;1999 e successivi;F;8
2021;Laurea;1999 e successivi;M;25319
2021;Laurea Magistrale;1999 e successivi;M;33
2021;Laurea Magistrale Ciclo Unico;1999 e successivi;M;2
2020;Laurea;1980 e precedenti;F;3912
2020;Laurea Magistrale;1980 e precedenti;F;2548
2020;Laurea Magistrale Ciclo Unico;1980 e precedenti;F;693
2020;Vecchio Ordinamento;1980 e precedenti;F;452
2020;Laurea;1980 e precedenti;M;4186
2020;Laurea Magistrale;1980 e precedenti;M;2143
2020;Laurea Magistrale Ciclo Unico;1980 e precedenti;M;725
2020;Vecchio Ordinamento;1980 e precedenti;M;300
2020;Laurea;1981;F;306
2020;Laurea Magistrale;1981;F;286
2020;Laurea Magistrale Ciclo Unico;1981;F;92
2020;Vecchio Ordinamento;1981;F;34
2020;Laurea;1981;M;316
2020;Laurea Magistrale;1981;M;237
2020;Laurea Magistrale Ciclo Unico;1981;M;69
2020;Vecchio Ordinamento;1981;M;14
2020;Laurea;1982;F;339
2020;Laurea Magistrale;1982;F;359
2020;Laurea Magistrale Ciclo Unico;1982;F;151
2020;Vecchio Ordinamento;1982;F;10
2020;Laurea;1982;M;382
2020;Laurea Magistrale;1982;M;293
2020;Laurea Magistrale Ciclo Unico;1982;M;89
2020;Vecchio Ordinamento;1982;M;3
2020;Laurea;1983;F;424
2020;Laurea Magistrale;1983;F;457
2020;Laurea Magistrale Ciclo Unico;1983;F;168
2020;Vecchio Ordinamento;1983;F;7
2020;Laurea;1983;M;417
2020;Laurea Magistrale;1983;M;332
2020;Laurea Magistrale Ciclo Unico;1983;M;110
2020;Laurea;1984;F;473
2020;Laurea Magistrale;1984;F;509
2020;Laurea Magistrale Ciclo Unico;1984;F;256
2020;Vecchio Ordinamento;1984;F;14
2020;Laurea;1984;M;481
2020;Laurea Magistrale;1984;M;387
2020;Laurea Magistrale Ciclo Unico;1984;M;119
2020;Vecchio Ordinamento;1984;M;1
2020;Laurea;1985;F;489
2020;Laurea Magistrale;1985;F;630
2020;Laurea Magistrale Ciclo Unico;1985;F;285
2020;Vecchio Ordinamento;1985;F;7
2020;Laurea;1985;M;518
2020;Laurea Magistrale;1985;M;394
2020;Laurea Magistrale Ciclo Unico;1985;M;148
2020;Vecchio Ordinamento;1985;M;2
2020;Laurea;1986;F;569
2020;Laurea Magistrale;1986;F;638
2020;Laurea Magistrale Ciclo Unico;1986;F;303
2020;Vecchio Ordinamento;1986;F;7
2020;Laurea;1986;M;606
2020;Laurea Magistrale;1986;M;500
2020;Laurea Magistrale Ciclo Unico;1986;M;190
2020;Laurea;1987;F;680
2020;Laurea Magistrale;1987;F;855
2020;Laurea Magistrale Ciclo Unico;1987;F;423
2020;Vecchio Ordinamento;1987;F;9
2020;Laurea;1987;M;691
2020;Laurea Magistrale;1987;M;683
2020;Laurea Magistrale Ciclo Unico;1987;M;266
2020;Laurea;1988;F;883
2020;Laurea Magistrale;1988;F;1065
2020;Laurea Magistrale Ciclo Unico;1988;F;512
2020;Vecchio Ordinamento;1988;F;11
2020;Laurea;1988;M;960
2020;Laurea Magistrale;1988;M;938
2020;Laurea Magistrale Ciclo Unico;1988;M;365
2020;Laurea;1989;F;1046
2020;Laurea Magistrale;1989;F;1388
2020;Laurea Magistrale Ciclo Unico;1989;F;642
2020;Vecchio Ordinamento;1989;F;14
2020;Laurea;1989;M;1161
2020;Laurea Magistrale;1989;M;1289
2020;Laurea Magistrale Ciclo Unico;1989;M;456
2020;Vecchio Ordinamento;1989;M;1
2020;Laurea;1990;F;1409
2020;Laurea Magistrale;1990;F;1968
2020;Laurea Magistrale Ciclo Unico;1990;F;977
2020;Vecchio Ordinamento;1990;F;12
2020;Laurea;1990;M;1495
2020;Laurea Magistrale;1990;M;1904
2020;Laurea Magistrale Ciclo Unico;1990;M;670
2020;Vecchio Ordinamento;1990;M;1
2020;Laurea;1991;F;1820
2020;Laurea Magistrale;1991;F;2794
2020;Laurea Magistrale Ciclo Unico;1991;F;1260
2020;Vecchio Ordinamento;1991;F;5
2020;Laurea;1991;M;1965
2020;Laurea Magistrale;1991;M;2722
2020;Laurea Magistrale Ciclo Unico;1991;M;872
2020;Laurea;1992;F;2594
2020;Laurea Magistrale;1992;F;4515
2020;Laurea Magistrale Ciclo Unico;1992;F;1782
2020;Laurea;1992;M;2783
2020;Laurea Magistrale;1992;M;4216
2020;Laurea Magistrale Ciclo Unico;1992;M;1128
2020;Laurea;1993;F;3500
2020;Laurea Magistrale;1993;F;6930
2020;Laurea Magistrale Ciclo Unico;1993;F;2789
2020;Laurea;1993;M;3575
2020;Laurea Magistrale;1993;M;6243
2020;Laurea Magistrale Ciclo Unico;1993;M;1715
2020;Laurea;1994;F;5019
2020;Laurea Magistrale;1994;F;11260
2020;Laurea Magistrale Ciclo Unico;1994;F;4555
2020;Laurea;1994;M;5092
2020;Laurea Magistrale;1994;M;8862
2020;Laurea Magistrale Ciclo Unico;1994;M;2556
2020;Laurea;1995;F;8021
2020;Laurea Magistrale;1995;F;13945
2020;Laurea Magistrale Ciclo Unico;1995;F;6757
2020;Laurea;1995;M;7493
2020;Laurea Magistrale;1995;M;10836
2020;Laurea Magistrale Ciclo Unico;1995;M;3633
2020;Laurea;1996;F;14621
2020;Laurea Magistrale;1996;F;10493
2020;Laurea Magistrale Ciclo Unico;1996;F;4089
